vx_vector;6
vx_nombre_vector;Capacitación SENCE aprobada AT a controlar
vx_descripcion;Liquidaciones visadas por el SENCE.
vx_vector;7
vx_nombre_vector;Retenciones de Honorarios Tasa 10,75%
vx_descripcion;Sumatoria, por Receptor, de la proporción de Renta de Honorarios y Otros (Art. 42 N° 2), Tasa 10,75%, que corresponde a lo que se obtiene dividiendo los honorarios por el total declarado en F1879 y multiplicado por la diferencia entre el total declarado y el monto observado por la observación R08.
vx_vector;9
vx_nombre_vector;Retenciones de Segunda Cat. (Cód. 151)
vx_descripcion;Sumatoria de los códigos [151] de Enero a Diciembre de AT Anterior de código [15]. 
vx_vector;10
vx_nombre_vector;F1879 Retenciones Tasa 10,75% y 10% directores por Declarante
vx_descripcion;Sumatoria por declarante de Montos Retenidos por honorarios y otros (Tasa 10,75%) y directores (Tasa 10%).
vx_vector;11
vx_nombre_vector;PPM de Segunda Categoría (Cód. 152) con Proporcionalidad de Giros No Pagados
vx_descripcion;Sumatoria de los códigos [152] de Enero a Diciembre de AT Anterior de código [15]. 
vx_vector;12
vx_nombre_vector;PPM por Asesorías Técnicas (Cód. 159)
vx_descripcion;Sumatoria de los códigos [159] de Enero a Diciembre de AT Anterior de código [15]. 
vx_vector;14
vx_nombre_vector;Retenciones a Direc. y Consejeros S.A. (Cód. 153)
vx_descripcion;Sumatoria de los códigos [153] de Enero a Diciembre AT Anterior de código [15]. 
vx_vector;16
vx_nombre_vector;Retenc. 1a Categoría y Mineros (Cód. 50-56)
vx_descripcion;Sumatoria de los códigos [50] y [56] de Enero a Diciembre de AT Anterior de código [15]. 
vx_vector;17
vx_nombre_vector;PPM artesanales u obreros (Cód. 70) con Proporcionalidad de Giros No Pagados
vx_descripcion;Sumatoria de los códigos [70] de Enero a Diciembre de AT Anterior de código [15]. 
vx_vector;18
vx_nombre_vector;Rentas Acc. Ene-Abr
vx_descripcion;Monto de Declarante por Rentas Accesorias Pagadas entre Enero y Abril declaradas en F1887 del AT. a controlar. 
vx_vector;19
vx_nombre_vector;Mayor Retención Solicitada por Declarante
vx_descripcion;Sumatoria por DECLARANTE de la Mayor Retención Solicitada (Art. 88 L.I.R.). 
vx_vector;20
vx_nombre_vector;PPM con proporción de giros No Pagados
vx_descripcion;Sumatoria de los F29 vigentes de los PPM pagados y declarados, códigos [62], [66], [70], [122], [123], [152] y [703], de Enero a Diciembre de AT Anterior de código [15].
vx_vector;21
vx_nombre_vector;Cumple con requisito art. 14 Ley 20.351 (pre-contrato)
vx_descripcion;"Si el contribuyente mantuvo el número de trabajadores contratados a abril, e informados en F1887, durante los mese de julio a diciembre, informados también en F1887, todos del año comercial anterior; entonces puede hacer uso del beneficio del art. 14 Ley 20.351 (pre-contrato)."
vx_vector;22
vx_nombre_vector;Remanente de Cotización Adicional (Cód. 73)
vx_descripcion;Código [73] declarado en período Diciembre AT-1.
vx_vector;24
